,ID,Review URL,Text,Star,Thumbs Up,User Name,Developer Reply,Version,Review Date,App ID
1417,62111,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHpJZYu7gqu3lsE3L2FDXHOr32fvOmzbBOH5RujScwbXBjxzZCJoe8LG-hkaofLhWSlgabbJ7rP2SmW1L8,Good,1,0,Rosemary Solomons,,79.0.3945.116,2021-01-02,com.android.chrome
1421,62115,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGqn-76UItxcw5p5gPDaSc8M1d5_G-HXLvnFHE_p4t8XKwzbqjsJpESLCNOT1giV4dOAF2GVlKrWaEi7Zs,Best app,1,0,Avnish babu Singh,,84.0.4147.125,2021-01-01,com.android.chrome
1493,68645,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHBYV1nm-KW5F8WGsKzmVILEl4NwKgG7fBSdQXLTnBB5Rwaj9qJywXhO6EA9Ma1MFR19XOWpEI3PjUHvIo,KRishan Chatham,1,0,Amit Chaurasiya,,,2021-01-03,com.android.chrome
1506,68659,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOF1jByakGhJmGGlunM9o4n7jHj1w8l90RENDuEDk4Jw8JTjNbNt2V9o5OfU6KYINdaKCt1BQ6B3cOCz1Jg,Ew,1,0,Bree Zhee,,68.0.3440.91,2021-01-03,com.android.chrome
1514,68667,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG65UhhysHM_ck4a0vzJQfJrYRU3Aa1D_-JdKZskxe1IRJlwKMgJMnHwzr10uDIv7FPvWX2YwfQzPL5e9g,® outeme.,1,0,Ido Route,,87.0.4280.101,2021-01-02,com.android.chrome
1516,68669,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG6-DHbcUtp1qTJdqEjrokr4P4Yqj2ICuiaJQFo_dryAwhtlOFDItH8kQx3cEvYWb2pX0oQHjsS0RmRsec,"Yo after this update, chrome is booty cheeks bruh on god",1,0,Angel Valencia,,83.0.4103.106,2021-01-02,com.android.chrome
1537,68691,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHybtZz6oa8p3Q6yjGSBSk7N859RI8MA12OaV9OoJewd4_4sAMz6bFGoZrVzURA6bQVZxDsbOmdeBKcS9M,Great,1,0,Victoria Baffoe,,,2021-01-02,com.android.chrome
1546,68700,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOExlHEbXy0N3Js4MCI2sLvMnqi5-_TWOgbIW91CAOaLj-ZWhOldJwHO6S2u2y9VEPBVeNdpkKh0O0K0YUk,¿¡い,1,0,Google Guest,,81.0.4044.138,2021-01-02,com.android.chrome
1619,69273,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEyy9yCK5nbitwRETXwO51uug4USb0UJepluxpGNKookLw6EXqdRqYXf42CXkon3IJHO0sos9PUgUUpBDI,Good,1,0,Premdas Vaishnav,,87.0.4280.101,2021-01-03,com.android.chrome
1634,69288,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEb6uWARAxE4lSWpTkSR0RDJj2imh9-6jKbu9n-YTPnbi7FuILswZje8V7KPboEAX_i3-Srf8y115qJ9yE,super,1,0,Bikram Basak,,87.0.4280.66,2021-01-03,com.android.chrome
1644,69298,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFEBSegJJnSTOXhlUYRk1ppK1HSNUSPf_6tVzbYuKAoxRxJPkl6IeKk_O4Injmo2_Nqc-bWaUsgS2bHHNw,Bee,1,0,Ben Harris Gaming,,87.0.4280.101,2021-01-03,com.android.chrome
1691,78724,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG4ufGHj8-k99Vk2CMxUzTCDN7AQN9lVgL2sTu0P0iUjKFpCoYcYm7KHDssyqjmOvFOY6A4O7IV4uqN9Tc,Nice,1,0,Shubham Pal,,80.0.3987.99,2021-01-05,com.android.chrome
1704,78738,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOELKTIyR3jp9Oj4l7LKRgFtjyBDGfV2ZhCwXcNf6Pvg0KGXJBgBmBV0FSsTkwoNbtyGtjm6_8M8OO-jLMM,Is fast secure I love it,1,0,Penka Weezy,,43.0.2357.93,2021-01-05,com.android.chrome
1718,78752,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGa67UkSTLPoeEsq1YCfQBJ6SYEQue1xIEPxsff7h27egink8lDa5lEhXyDQ0RemYfROEszz0bbGN5x2d0,110 Aso SoNU,1,0,Sonu Majhi,,70.0.3538.110,2021-01-04,com.android.chrome
1725,78759,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE8BNn_VCe_jxOmermTB8FfHrQu_PxK7H_kbmm7ieRR34DNaxNcpouUcw1s9BRf1_hQSCnEw6wc_6VLxlM,Good,1,0,Ana-lira Sweetie,,56.0.2924.87,2021-01-04,com.android.chrome
1737,78771,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEHXxfvSoGYzrxoT_CHoqV7RRhbSTEHn4UT4RSyU5gW9mWPq0kkeNMtMeTEpJ0NOzWVnZIKzFfDWEWmOjI,Tells me to update then doesn't let me,1,0,KEN NAYLOR,,86.0.4240.110,2021-01-04,com.android.chrome
1893,87036,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEMghbsFvgQit63Y-rlYUHmvZoHtE27f_lC2okBctxS2NjJdJQiip1HwQ_PBsZgFxUisRpX3V1WyXiN2aU,a,1,0,Vusimuzi Japhta Ngwenya,,87.0.4280.101,2021-01-06,com.android.chrome
1926,87071,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFCnqVMo8fk0q5bwpbJ4XlHyxEbLzyLx_t1hxEZL4zWK5XDS7dJLbnGtwVPwBgCcU3xEAPufoiCwHewORQ,Fine,1,0,Zizu Ahmed,,87.0.4280.101,2021-01-06,com.android.chrome
1950,87096,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGB_VRCjOmxZ4pVQePSS2O8RI9azGNRoG8eBXjwcW1RJmVxHzCnHJ1mvKi-0g4t195Ldi2-6T7YOe9JBn0,t Thanks again Vietta how's your car doing well I hope you have a great day and I will be able and willing to help you out with the next steps for me to do that we need to get the update on the status of the order I placed the order on your way back to the office I will send you my email address to use it for you if you need anything else from me please let me know what you need from me to get you a copy of the order I placed the right number for you to call for the next couple weeks so I'm goi.,1,0,Kerry Boven,,87.0.4280.101,2021-01-06,com.android.chrome
1952,87098,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFCPOoivvFOAEckB4MacxBJHYm3Howd1JmuLtfu_JyS33Nr8Nc7wT8Okz2OMCQ_idc7j-4pNd_F4I3oqiE,Good,1,0,surya Lifestyle,,87.0.4280.66,2021-01-06,com.android.chrome
2019,90442,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHJ6LguKjTs3HcKU5QhnNyd3aAq7ms0oY6FGiYeO1ZqU8sc0t657yUTzjZ8go2FhkLs6ChbYpmQndxbCI0,Best app ever,1,0,Nyakueka Stephen,,80.0.3987.99,2021-01-07,com.android.chrome
2043,90467,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGppIoOwRnnBtVwOTTVwCYwmIrQvrPMab73oZJc0ApI4wBYGYT4sJw1jvLYl38r7nAuPalxYGMa1x4p2Wc,Nice,1,0,Pawan Shukla,,87.0.4280.101,2021-01-07,com.android.chrome
2052,90476,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHoKA32TbiucRxn_EKxpl2VXau4s-Nr2GPFEabXMTcwiqdVf_6Rc3ZyORYB2xlKK_mWN8iEo5kNFiNyfyQ,Google ******,1,0,adam et riyad,,87.0.4280.101,2021-01-07,com.android.chrome
2089,90513,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFv_KFz2YoUvAen5KYS2Mc4jQCg7Coh89nnSyuIvwyjdd3yK8P_LEPgdIIFDTUYu30qI-JLOWrqWpql59w,Good,1,0,Sao Sarak,,74.0.3729.157,2021-01-07,com.android.chrome
2092,99838,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHvjD6otBeEV_hCI61Hwv4erFgfGXsNq0NTpNuQ4sxO21e3FvJvFSeGpKVl-vO_MARvwYI6D9QPt0gjqSk,Please update my Google Chrome app Please help,1,0,ਕਰਨ ਰਾਏ,,86.0.4240.198,2021-01-08,com.android.chrome
2128,99874,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGi1raK1NExmqDUsDlwnEtywnuFeO1TknGMzeGkW-h0Hb0viWF2rBXc8u59GOKrxv7Th_rTE-Ap8QoMVcA,Yevt,1,0,MHR Family,,87.0.4280.101,2021-01-08,com.android.chrome
2146,99892,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOF-XfF4TTTKLMpvb6FaZnR4zXo05ZDdmCnH5e5v0PO0960LBCauVfX4-Az9thBV-_2q41lHsB1v6Z83FqY,It wont update help!!!!,1,0,Amanda Durham,,85.0.4183.127,2021-01-08,com.android.chrome
2160,99906,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEzKBQoxZZkAskhnDNF2Xyp-6YjqdF2GT_NbxWFTkuHM6SVDX9BoDvhoaEZBwVo4E0t49kTPfUVopNx0_U,Great,1,0,Mohammad Akhavanfard,,87.0.4280.141,2021-01-08,com.android.chrome
2173,99919,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGWL46bQE0I5BrjuTTZJ8pah1em5-q0iPEeF7w-F0fWA2tPpG1pXfbdHzd0kux_DJPwNw2nMxj5GKniCWY,Works. But home page news article and other suggested content should have options to hide. I will enable it if I want so see don't force it on me,1,0,Ritesh Khodiyar,,87.0.4280.141,2021-01-08,com.android.chrome
2178,99924,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOF51_MfkDPaaDAIcJRXuPv5-xOMvlvlSI0-iSim1g2ow5euu1yEPhN0I3vB4IpxRkaDYe5IIBLyLUpiomI,He is a good app,1,0,Omkarमत Khande,,85.0.4183.127,2021-01-08,com.android.chrome
2185,99931,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHJZNiKZPc6QYJFNqg_3mCqmkhK7VF3sH4TTeW3hhzXfzthpWNU1Hk_01HfOnIw1l5yW_ZuIKDVctzHiNo,"Won't run crashes on startup, excellent testing there 🤔",1,0,Stefan Knowles,,87.0.4280.141,2021-01-08,com.android.chrome
2243,102814,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHh3tTb-phIqoB7hG4UfPBu1Y8wcZLdy-r5ymqxS3wR6n24M7bA8szb85hgNGiYO4Ip36xrwxoeXb5wQ_A,Updated issue,1,0,Rina Paul,,86.0.4240.198,2021-01-09,com.android.chrome
